region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1102406,8,211,5,224
1102407,12,215,12,239
1102408,13,253,30,296
1102409,15,244,12,271
1102410,15,198,7,220
1102411,15,227,12,254
1102412,6,260,6,272
1102501,0,0,0,0
1102502,9,254,18,281
1102503,59,203,9,271
1102504,15,240,30,285
1102505,17,178,27,222
1102506,18,278,15,311
1102507,12,234,15,261
1102508,18,504,18,540
1102509,0,122,3,125
1102510,13,261,3,277
1102511,22,369,7,398
1102512,32,465,13,510
1102513,16,390,12,418
1102514,19,197,3,219
1102515,61,309,12,382
1102516,10,245,12,267
1102517,9,307,6,322
1102518,13,366,12,391
1102519,60,194,16,270
1102520,14,498,25,537
1102521,9,224,12,245
1102522,11,316,14,341
1102523,6,146,6,158
1102524,8,276,6,290
1102525,20,358,4,382
1102526,7,319,4,330
1102527,16,366,62,444
1102528,35,543,33,611
1102529,15,319,16,350
1102530,21,292,31,344
1102601,31,435,6,472
1102602,26,485,12,523
1102603,15,313,9,337
1102604,23,295,18,336
1102605,28,441,17,486
1102606,5,267,11,283
1102607,20,400,16,436
1102608,35,307,12,354
1102609,36,346,15,397
1102610,16,231,15,262
1102611,6,227,9,242
1102612,7,207,3,217
1102613,14,214,0,228
1102614,33,489,34,556
1102615,19,336,11,366
1102616,9,165,18,192
1102617,12,207,6,225
1102618,8,262,5,275
1102619,22,310,11,343
1102620,29,232,12,273
1102621,22,263,32,317
1102622,9,217,6,232
1102623,25,238,15,278
1102701,20,203,3,226
1102702,29,279,33,341
1102703,3,152,4,159
1102704,16,213,14,243
1102705,27,369,36,432
1102706,115,414,16,545
1102707,43,447,32,522
1102708,114,210,11,335
1102709,28,473,27,528
1102710,15,175,6,196
1102711,0,0,0,0
1102712,22,346,24,392
1102713,21,386,17,424
1102714,0,0,0,0
1102715,0,24,0,24
1102716,0,0,0,0
1102717,4,228,18,250
1102718,22,280,22,324
1102719,30,341,25,396
1102720,19,257,0,276
1102721,35,464,28,527
1102722,11,121,0,132
1102723,6,227,11,244
1102724,21,343,12,376
1102725,28,296,14,338
1102726,9,190,4,203
1102727,23,329,20,372
1102728,29,229,15,273
1102729,52,467,32,551
1102801,0,0,0,0
1102802,15,528,26,569
1102803,15,497,39,551
1102804,6,218,4,228
1102805,4,302,15,321
1102806,17,461,27,505
1102807,12,343,24,379
1102808,9,383,3,395
1102809,18,573,9,600
1102810,14,432,42,488
1102811,12,401,21,434
