Name1,Name2,Latitude,Longitude,State,pop,unk2
'Grafton','Grafton',-29.712,152.9377,'New South Wales','',9955,1036615468
'Murray Bridge','Murray Bridge',-35.1296,139.26,'South Australia','',18194,1036345943
'Muswellbrook','Muswellbrook',-32.2696,150.89,'New South Wales','',11630,1036253543
'Windorah','Windorah',-25.4332,142.6502,'Queensland','',158,1036272226
'Bedourie','Bedourie',-24.3496,139.4666,'Queensland','',142,1036680924
'Newman','Newman',-23.3666,119.7333,'Western Australia','',5138,1036587511
'Birdsville','Birdsville',-25.8996,139.3666,'Queensland','',283,1036830335
'Kalgoorlie','Kalgoorlie',-30.7354,121.46,'Western Australia','',36852,1036087904
'Biloela','Biloela',-24.3936,150.4961,'Queensland','',6309,1036014905
'Smithton','Smithton',-40.8329,145.1167,'Tasmania','',4202,1036207188
'Bicheno','Bicheno',-41.8784,148.2886,'Tasmania','',177,1036189642
'Deniliquin','Deniliquin',-35.5296,144.95,'New South Wales','',8024,1036325219
'Broken Hill','Broken Hill',-31.95,141.4331,'New South Wales','',17395,1036216956
'Swan Hill','Swan Hill',-35.3396,143.54,'Victoria','',9276,1036220501
'Albury','Albury',-36.06,146.92,'New South Wales','',104258,1036076542
'Wagga Wagga','Wagga Wagga',-35.1222,147.34,'New South Wales','',55381,1036273188
'Tumut','Tumut',-35.3096,148.22,'New South Wales','',6526,1036777587
'Lismore','Lismore',-28.8167,153.2931,'New South Wales','',31430,1036024174
'Byron Bay','Byron Bay',-28.6565,153.6129,'New South Wales','',6764,1036606974
'Tweed Heads','Tweed Heads',-28.1826,153.5466,'New South Wales','',33065,1036571941]]
